         time,   Ax,   Ay,   Az,    T,   Gx,   Gy,   Gz,
1555086210672,00072,00042,02171,03694,00021,20000,00032,
1555086210671,00072,00042,02171,03694,00021,65534,00035,
1555086210744,00071,00034,02166,03682,00019,65533,00037,
1555086210745,00070,00042,02158,03686,00019,65533,00038,
1555086210746,00069,00044,02146,03687,00020,65533,00039,
1555086210819,00076,00042,02146,03687,00021,65531,00037,
1555086210821,00066,00037,02156,03685,00021,65532,00037,
1555086210894,00066,00038,02147,03692,00019,65531,00035,
1555086210670,00072,00042,02171,03694,00021,01000,00032,
1555086210895,00071,00033,02155,03694,00018,65531,00035,
1555086210896,00072,00028,02165,03694,00019,65531,00034,
1555086210969,00069,00040,02139,03693,00022,65532,00034,
1555086210971,00067,00038,02165,03691,00023,65533,00034,
1555086211044,00072,00034,02145,03702,00023,65534,00038,
1555086211045,00075,00030,02148,03698,00023,65535,00038,
1555086211119,00077,00039,02155,03695,00023,65533,00038,
1555086211120,00071,00035,02157,03697,00022,65533,00038,
1555086211121,00066,00032,02155,03701,00021,65533,00038,
1555086211194,00074,00048,02161,03694,00022,65535,00038,
1555086211196,00069,00033,02142,03693,00021,65534,00038,
1555086211269,00074,00039,02161,03696,00019,65533,00036,
1555086211270,00069,00038,02158,03699,00019,65534,00036,
1555086211271,00069,00041,02147,03700,00020,65534,00036,
1555086211419,00070,00044,02155,03691,00021,65532,00038,
1555086211421,00064,00034,02154,03690,00021,65532,00037,
1555086211494,00072,00034,02151,03693,00022,65532,00035,
1555086211495,00075,00035,02150,03691,00022,65533,00036,
1555086211496,00069,00035,02144,03693,00022,65533,00036,
1555086211569,00068,00036,02159,03692,00020,65531,00037,
1555086211571,00070,00041,02170,03690,00019,65533,00037,
1555086211644,00062,00033,02161,03693,00022,65532,00037,
1555086211645,00065,00037,02154,03696,00022,65532,00037,
1555086211646,00071,00035,02147,03696,00022,65533,00036,
1555086211719,00064,00040,02149,03691,00023,65535,00039,
1555086211721,00070,00039,02150,03694,00023,00000,00038,
1555086211794,00069,00040,02157,03693,00022,65529,00035,
1555086211796,00067,00033,02160,03697,00022,65529,00035,
1555086211869,00073,00033,02154,03696,00021,65530,00037,
1555086211945,00062,00041,02164,03699,00023,65534,00038,
1555086211946,00064,00034,02155,03699,00023,65534,00038,
1555086212094,00070,00046,02161,03697,00021,65533,00036,
1555086212096,00067,00042,02155,03689,00022,65534,00037,
1555086212169,00063,00039,02157,03693,00020,65532,00034,
1555086212170,00067,00040,02154,03691,00021,65532,00035,
1555086212171,00070,00038,02161,03687,00021,65532,00036,
1555086212244,00060,00045,02159,03698,00022,65531,00037,
1555086212246,00077,00038,02147,03698,00021,65530,00036,
1555086212320,00073,00041,02145,03697,00023,65533,00036,
1555086212321,00074,00039,02145,03695,00023,65533,00036,
1555086212394,00072,00041,02154,03687,00020,65531,00038,
1555086212396,00071,00035,02145,03692,00022,65532,00038,
1555086212469,00067,00040,02154,03697,00021,65532,00038,
1555086212470,00070,00044,02159,03695,00021,65533,00038,
1555086212544,00076,00039,02164,03699,00021,65535,00040,
1555086212545,00064,00035,02163,03696,00022,65535,00040,
1555086212546,00060,00029,02159,03697,00022,65534,00039,
1555086212619,00075,00043,02147,03695,00022,65533,00037,
1555086212621,00068,00040,02155,03698,00023,65534,00036,
1555086212694,00074,00036,02166,03699,00021,65535,00039,
1555086212695,00068,00039,02166,03700,00021,65535,00039,
1555086212696,00068,00037,02158,03699,00021,65534,00039,
1555086212844,00062,00036,02155,03704,00022,65535,00038,
1555086212846,00062,00035,02154,03707,00021,65534,00039,
1555086212919,00071,00040,02157,03696,00021,65530,00034,
1555086212920,00068,00040,02162,03696,00020,65531,00034,
1555086212921,00072,00035,02168,03695,00020,65531,00034,
1555086212994,00070,00042,02157,03703,00022,65529,00034,
1555086212996,00070,00036,02156,03704,00022,65529,00035,
1555086213069,00059,00041,02163,03698,00022,65532,00038,
1555086213070,00063,00036,02162,03703,00022,65531,00038,
1555086213071,00068,00032,02153,03708,00022,65531,00037,
1555086213144,00071,00043,02143,03704,00022,65534,00037,
1555086213146,00066,00042,02145,03703,00020,65534,00036,
1555086213219,00075,00038,02165,03697,00022,00000,00038,
1555086213221,00078,00041,02158,03700,00021,00000,00039,
1555086213294,00073,00038,02161,03701,00023,65535,00037,
1555086213295,00076,00037,02156,03703,00023,65535,00037,
1555086213296,00073,00032,02161,03704,00022,65535,00037,
1555086213369,00069,00035,02147,03699,00022,65533,00036,
1555086213371,00073,00034,02149,03698,00022,65532,00036,
1555086213444,00067,00035,02152,03703,00023,00000,00037,
1555086213445,00068,00032,02148,03704,00022,65535,00037,
1555086213446,00073,00035,02140,03705,00022,65535,00037,
1555086213519,00066,00038,02144,03701,00023,65531,00036,
1555086213521,00068,00037,02149,03700,00023,65530,00037,
1555086213594,00067,00038,02150,03708,00023,65531,00037,
1555086213670,00071,00042,02157,03711,00021,65535,00037,
1555086213671,00067,00038,02149,03709,00022,65535,00036,
1555086213894,00073,00039,02162,03703,00021,65530,00035,
1555086213895,00069,00041,02168,03706,00021,65531,00035,
1555086213969,00079,00038,02156,03709,00022,65534,00036,
1555086213970,00074,00035,02156,03708,00023,65534,00036,
1555086214044,00072,00040,02142,03704,00022,65534,00038,
1555086214045,00076,00038,02147,03707,00022,65534,00038,
1555086214046,00075,00036,02158,03706,00022,65534,00038,
1555086214119,00070,00042,02152,03706,00022,65530,00035,
1555086214120,00068,00042,02154,03709,00022,65531,00035,
1555086214194,00075,00045,02158,03698,00021,65533,00039,
1555086214195,00069,00045,02153,03697,00021,65531,00040,
1555086214196,00070,00037,02143,03701,00022,65531,00039,
1555086214269,00071,00032,02154,03705,00021,65533,00038,
1555086214270,00066,00039,02155,03705,00020,65533,00038,
1555086214419,00065,00032,02156,03698,00021,65534,00037,
1555086214569,00067,00036,02152,03707,00022,65531,00037,
1555086214570,00070,00034,02155,03712,00021,65532,00037,
1555086214644,00065,00041,02155,03711,00021,65532,00037,
1555086214720,00071,00032,02168,03713,00022,65531,00038,
1555086214721,00073,00036,02168,03710,00022,65531,00038,
1555086214794,00071,00039,02155,03714,00022,65532,00037,
1555086214795,00069,00040,02158,03719,00022,65531,00036,
1555086214870,00070,00041,02148,03712,00021,65533,00038,
1555086214944,00068,00046,02142,03711,00023,65532,00038,
1555086214945,00067,00044,02144,03712,00024,65532,00038,
1555086214946,00069,00042,02152,03710,00023,65532,00038,
1555086215019,00073,00034,02162,03716,00023,65533,00037,
1555086215020,00070,00035,02156,03712,00022,65533,00037,
1555086215094,00069,00042,02156,03713,00021,65534,00037,
1555086215095,00073,00037,02156,03711,00021,65534,00037,
1555086215096,00077,00039,02152,03712,00021,65534,00037,
1555086215169,00069,00034,02153,03713,00020,65535,00037,
1555086215320,00072,00041,02153,03708,00021,65531,00035,
1555086215321,00070,00041,02153,03706,00021,65531,00036,
1555086215394,00075,00039,02168,03721,00022,65529,00036,
1555086215395,00070,00037,02163,03718,00022,65530,00036,
1555086215469,00061,00038,02151,03710,00022,65533,00037,
1555086215470,00062,00037,02167,03714,00022,65532,00037,
1555086215471,00067,00037,02158,03716,00022,65531,00037,
1555086215544,00074,00040,02163,03719,00022,65533,00037,
1555086215545,00072,00042,02157,03720,00021,65533,00037,
1555086215619,00071,00038,02159,03712,00021,00000,00037,
1555086215620,00067,00041,02157,03712,00021,65535,00037,
1555086215694,00070,00037,02160,03719,00022,65532,00038,
1555086215695,00075,00034,02145,03723,00022,65532,00038,
1555086215696,00070,00035,02135,03724,00021,65532,00038,
1555086215769,00066,00038,02158,03718,00021,65534,00036,
1555086215770,00070,00034,02151,03723,00021,65534,00036,
1555086215843,00066,00041,02152,03705,00021,65530,00035,
1555086215845,00072,00040,02143,03710,00021,65529,00035,
1555086215846,00074,00038,02140,03710,00021,65529,00035,
1555086215919,00080,00039,02153,03711,00021,65532,00037,
1555086215920,00072,00039,02151,03713,00020,65532,00036,
1555086215993,00060,00037,02160,03712,00023,65530,00036,
1555086215995,00073,00033,02153,03711,00023,65529,00036,
1555086215996,00068,00037,02155,03712,00024,65530,00036,
1555086216144,00071,00045,02158,03720,00022,00000,00039,
1555086216145,00071,00034,02163,03721,00022,00000,00038,
1555086216218,00072,00040,02165,03716,00023,65532,00038,
1555086216220,00068,00036,02150,03718,00023,65533,00036,
1555086216293,00067,00037,02165,03720,00020,65532,00037,
1555086216295,00071,00042,02155,03719,00020,65532,00037,
